gene,gene_betweeness,gene_degree,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC
ABCD4,2.27E-07,3,358,2.11E-06,0.48773,0.04657527,20,48.2973,95.05405,0.8657811,92.91148,7.885246,55.84817
ABCE1,0.001454312,231,1139,3.12E-06,0.36517,0.03185671,4,39.18919,91.91892,0.9106537,103.8066,7.504918,33.65003
ABCF1,0.0001417,51,271,2.58E-06,0.46069,0.03242649,23,51.27027,97.75676,0.9215282,142.9213,18.3541,51.87839
ABCF2,2.61E-05,35,290,2.48E-06,0.52226,0.03197283,32,55.18919,98.59459,0.8650239,144.8885,21.32459,50.13067
ABCF3,3.10E-05,20,257,2.83E-06,0.49677,0.04868541,18,68.08108,97.27027,0.9523697,162.3541,24.00328,54.74739
ABCG1,0,1,464,2.44E-06,0.49939,0.07548005,10,45.08108,89.78378,0.8719654,124.6426,15.08197,55.72593
ABCG2,0,1,209,2.43E-06,0.39894,-0.007456405,12,51.75676,98,0.8823616,104.082,9.87541,39.83317
ABCG4,0,1,195,2.22E-06,0.50676,0.05738091,35,45.72973,89.86486,0.9186766,197.623,35.81311,57.8161
ABCG5,1.37E-06,2,480,2.21E-06,0.38797,0.03453419,7,55.62162,95.24324,0.900675,89.73443,9.547541,45.46976
ABCG8,6.45E-06,8,480,2.23E-06,0.409915,0.03019154,7,54.13514,96.16216,0.9172445,143.8525,18.8623,54.81436
ABHD1,0,1,238,1.98E-06,0.51674,0.049806,24,53,95.45946,0.9051591,154.8066,21.48525,53.53893
ABHD10,8.59E-06,7,250,2.84E-06,0.389105,0.009626435,8,55.75676,94.37838,0.9322298,127.5672,15.51148,42.67931
ABHD11,1.57E-06,4,214,5.17E-06,0.52942,0.05404935,17,43.83784,83.45946,0.9377962,89.8459,8.845902,59.28715
ABHD12,1.47E-06,3,348,4.20E-06,0.486705,-0.003477316,9,51.59459,88.56757,0.512664,73.96721,3.659016,50.73852
ABHD12B,0,1,431,2.13E-06,0.43422,0.04101992,13,49.02703,93.45946,0.8908284,180.0426,34.73443,43.71964
